cluster_lat,cluster_lon,hhsize,con_norm_day,cons_pc
-15.836067,35.737044,71,109.02194727833451,1.5355203842018945
-15.835268,35.167445,49,73.567236266261,1.501372168699204
-15.834733,34.977652,70,190.35409838794635,2.719344262684948
-15.83043,35.09356,53,214.2563278386961,4.042572223371625
-15.830196,34.411347,72,149.40207134152,2.0750287686322224
-15.826831,34.982374,52,183.10474962067792,3.521245185013037
-15.826781,35.09758,58,218.56274054979647,3.768323112927525
-15.821831,35.007932,57,236.70781976149405,4.15276876774551
-15.816606,35.19103,54,125.01795151297857,2.315147250240344
-15.810874,35.027737,46,633.065472579249,13.762292882157587
-15.805679,35.546449,73,111.30931511241901,1.5247851385262878
-15.804976,34.994405,61,4882.200219839389,80.03606917769491
-15.804177,35.793425,66,99.16566267159894,1.5025100404787717
-15.803291,35.154915,59,89.68348376773889,1.5200590469108286
-15.80194,35.297593,67,84.50436245876858,1.2612591411756504
-15.798508,35.05054,79,885.5325797480388,11.209273161367578
-15.795731,35.125619,66,105.57727303921001,1.5996556521092427
-15.793053,35.483234,57,89.59279755283295,1.5718034658391746
-15.791752,35.157739,80,146.27887492785655,1.828485936598207
-15.790143,35.411892,71,112.36541060240437,1.5826114169352727
-15.779582,35.559395,74,76.93897805750417,1.0397159196960024
-15.779108,34.901791,51,116.5273458224532,2.2848499180873176
-15.776645,35.020422,55,266.6235438576812,4.847700797412386
-15.775837,34.910253,62,104.84017181282542,1.6909705131100874
-15.774542,35.052139,61,248.62978008867424,4.075898034240561
-15.773656,35.045773,67,243.68452619528318,3.637082480526615
-15.772282,34.516729,84,131.11199142764525,1.5608570408053006
-15.771462,35.034019,71,206.9405049984448,2.9146549999780955
-15.770367,35.014662,54,251.90355109398953,4.664880575814621
-15.767536,35.035977,77,294.4095348785985,3.8235004529688115
-15.766944,35.208484,66,88.58421460654587,1.3421850697961495
-15.766915,35.6721,67,87.10817136573654,1.3001219606826349
-15.766709,35.22348,42,81.39047044979955,1.9378683440428464
-15.766141,35.153758,55,93.97498993524819,1.708636180640876
-15.762883,34.974998,57,246.00746343362988,4.315920411116314
-15.761763,34.372752,61,75.68681148598898,1.2407674014096555
-15.760952,34.421717,70,145.23034769675064,2.0747192528107234
-15.759848,34.463784,53,68.07912178483382,1.2845117317893173
-15.753062,35.287326,62,77.57288712944239,1.2511755988619742
-15.752852,35.781488,64,71.12787162138505,1.1113729940841415
-15.752515,35.072778,83,246.46711932797763,2.9694833653973207
-15.749596,35.018954,70,250.92200383924765,3.584600054846395
-15.748746,35.021205,59,244.0616866155862,4.136638756196376
-15.744234,35.098483,57,418.87406270805104,7.348667766807913
-15.743748,34.383647,66,105.94816009843467,1.6052751530065859
-15.735286,34.52086,57,96.11253576615553,1.6861848380027287
-15.73134,35.566626,81,87.7793004437276,1.0836950672065138
-15.726059,35.710228,67,63.446505836155524,0.9469627736739631
-15.726054,34.517129,84,173.84123317941882,2.0695384902311766
-15.725627,35.341325,71,98.26033355103161,1.3839483598736846
-15.718961,35.070469,67,299.0034063471343,4.462737408166183
-15.718445,35.680575,67,88.75728071159386,1.3247355330088637
-15.713111,34.449287,58,97.61723167950979,1.6830557186122377
-15.705208,35.151067,78,219.55931212036757,2.814862975902148
-15.705021,35.183601,53,104.69326546830126,1.9753446314773824
-15.703406,35.005569,65,271.9753694005826,4.1842364523166555
-15.702464,34.889266,73,128.6792920548429,1.762730028148533
-15.699825,35.486854,80,79.27626142661268,0.9909532678326585
-15.698935,35.255373,78,120.76284174161331,1.5482415607899143
-15.69251,35.796372,79,80.01576703690014,1.0128578105936727
-15.69187,34.394455,65,152.93532741255157,2.352851190962332
-15.684889,35.583213,69,85.0513636759924,1.2326284590723537
-15.681641,35.073323,70,164.16747942773642,2.34524970611052
-15.678937,35.680682,68,65.90951126844774,0.9692575186536433
-15.671589,35.200021,80,136.85158166683496,1.710644770835437
-15.667329,35.3114,59,102.78630634016977,1.7421407854266062
-15.665454,34.923029,66,134.0958376203489,2.031755115459832
-15.66464,34.955245,57,134.09690135034467,2.3525772166727132
-15.664213,34.934739,44,91.02577156572016,2.068767535584549
-15.663807,34.621782,91,145.67100804314362,1.6007803081664134
